Timp_Scurs_Secunde,Temperatura_C,Status_Sistem,Actiune_Background
0,42.9,OK,Foto: OK | GPS: Conectat
7,47.2,OK,-
9,48.3,OK,-
11,47.8,OK,Foto: OK | GPS: Conectat
16,49.4,OK,-
18,49.4,OK,-
20,49.9,OK,-
22,49.9,OK,Foto: OK | GPS: Conectat
27,50.5,OK,-
29,51.5,OK,-
31,51.0,OK,-
33,51.5,OK,Foto: OK | GPS: Conectat
38,53.2,OK,-
40,52.6,OK,-
42,53.2,OK,-
44,53.7,OK,Foto: OK | GPS: Conectat
49,54.2,OK,-
51,54.8,OK,-
53,54.8,OK,-
55,55.3,OK,Foto: OK | GPS: Cautare...
60,55.8,OK,-
62,55.8,OK,-
64,55.8,OK,-
66,55.8,OK,Foto: OK | GPS: Conectat
71,56.4,OK,-
73,56.9,OK,-
75,56.9,OK,-
77,56.9,OK,Foto: OK | GPS: Conectat
82,58.0,OK,-
84,58.0,OK,-
86,58.0,OK,-
88,58.0,OK,Foto: OK | GPS: Conectat
93,58.0,OK,-
95,58.5,OK,-
97,59.1,OK,-
99,59.1,OK,Foto: OK | GPS: Conectat
104,59.1,OK,-
106,59.1,OK,-
108,59.1,OK,-
110,60.1,OK,Foto: OK | GPS: Conectat
115,60.1,OK,-
117,60.1,OK,-
119,61.2,OK,-
121,60.7,OK,Foto: OK | GPS: Conectat
127,61.2,OK,-
129,61.2,OK,-
131,61.2,OK,-
133,61.2,OK,Foto: OK | GPS: Conectat
138,61.8,OK,-
140,61.8,OK,-
142,62.3,OK,-
144,62.3,OK,Foto: OK | GPS: Conectat
149,62.3,OK,-
151,62.3,OK,-
153,62.8,OK,-
155,62.8,OK,Foto: OK | GPS: Conectat
160,63.4,OK,-
162,63.4,OK,-
164,63.4,OK,-
166,63.4,OK,Foto: OK | GPS: Conectat
171,63.4,OK,-
173,63.4,OK,-
175,63.9,OK,-
177,64.5,OK,Foto: OK | GPS: Conectat
182,65.0,OK,-
184,65.0,OK,-
186,64.5,OK,-
188,65.0,OK,Foto: OK | GPS: Conectat
193,65.0,OK,-
195,65.0,OK,-
197,65.0,OK,-
199,65.0,OK,Foto: OK | GPS: Conectat
204,65.0,OK,-
206,65.0,OK,-
208,65.0,OK,-
210,65.5,OK,Foto: OK | GPS: Conectat
215,65.5,OK,-
217,65.5,OK,-
219,65.5,OK,-
221,66.6,OK,Foto: OK | GPS: Conectat
226,66.1,OK,-
228,65.5,OK,-
230,66.1,OK,-
232,65.5,OK,Foto: OK | GPS: Conectat
238,66.6,OK,-
240,66.1,OK,-
242,65.5,OK,-
244,66.1,OK,Foto: OK | GPS: Conectat
249,66.6,OK,-
251,66.6,OK,-
253,66.6,OK,-
255,66.6,OK,Foto: OK | GPS: Conectat
260,66.6,OK,-
262,66.6,OK,-
264,67.7,OK,-
266,67.1,OK,Foto: OK | GPS: Conectat
